,0
678,1957612.1295067347
679,1968338.4978467345
680,1987485.5648867346
681,2014390.0643467342
682,2017522.7279567346
683,2000838.7223367346
684,2003140.8139067346
685,1941499.6637767344
686,1868712.3472667346
687,1881353.1082817344
688,1935442.9473717345
689,1944418.4778117344
690,1901582.3757967341
691,1915538.9018667345
692,1878654.0426892345
693,1822946.9987267344
694,1844759.1611742352
695,1852912.2994242345
696,1895678.9088116216
697,1877205.5892556447
698,1936362.5005212883
699,1958170.114617742
700,1966715.5069303755
701,1968252.2536902823
702,1995514.1088382842
703,1953372.2023076285
704,2000516.3134578294
705,1987061.1260524113
706,1986875.3472394065
707,2062009.024584672
708,2101952.522084672
709,2078954.366904672
710,2100946.855454672
711,2168038.495534672
712,2169818.196949672
713,2133604.281839672
714,2087904.991529672
715,2122815.752209672
716,2154411.236819672
717,2156795.968039672
718,2160326.210029672
719,2169371.337599672
720,2098816.0200596717
721,2109786.023229672
722,2166958.9817846715
723,2156521.9129446717
724,2168359.9054321717
725,2130434.725482172
726,2095885.3857621718
727,2102877.7778496724
728,2069224.8654296717
729,2063585.853034672
730,2030520.337104672
731,2024601.2839546718
732,2087501.5225846719
733,2074527.9284846717
734,2172708.6034121714
735,2162407.9593621716
736,2163371.8076904053
737,2167894.5229786234
738,2167504.357799505
739,2168793.5206295056
740,2148907.372439505
741,2192046.737569505
742,2169175.476917005
743,2142829.3012770046
744,2104920.7615570053
745,2112542.3148784335
746,2104249.153069862
747,2096313.4191598622
748,2161430.656014862
749,2162447.8104648627
750,2158230.6129948623
751,2181506.1890248624
752,2178997.4952248624
753,2146433.848837566
754,2173491.6970223817
755,2165740.8821423813
756,2182107.374472381
757,2194494.2484823815
758,2208142.4940623813
759,2215740.8715723814
760,2215391.8127823807
761,2239733.1514573814
762,2241703.026527381
763,2270879.7313773814
764,2272885.915227381
765,2284841.4572223816
766,2305576.986232381
767,2315354.641302381
768,2314779.735112381
769,2307363.9478473812
770,2279373.1199073815
771,2311181.3362573814
772,2326317.6477273814
773,2319379.6244373806
774,2308556.539892722
775,2309415.9934143564
776,2315110.6474086
777,2319442.9339786
778,2369164.5576135996
779,2359154.4940135996
780,2378409.6349536004
781,2366896.5353886
782,2361324.4469336
783,2344093.0761736
784,2362186.1696236003
785,2365745.3771336004
786,2337759.1131135994
787,2363960.3854236007
788,2372777.6977478857
789,2386428.223212172
790,2394059.4459921718
791,2398046.190687172
792,2394431.9692771714
793,2396836.569877171
794,2388334.4923721715
795,2365776.6831740486
796,2363423.008490819
797,2356605.4666958903
798,2344193.4453053055
799,2305611.1939551374
800,2329422.60296442
801,2308269.8431233955
802,2307736.325831399
803,2293668.4055913994
804,2335236.4950413993
805,2344096.4828013987
806,2365044.9235513993
807,2360320.7140413984
808,2366168.775011399
809,2341579.6198913986
810,2317931.2585313986
811,2289259.958101399
812,2295966.6388864
813,2328220.873306399
814,2325466.7166363993
815,2299160.9963563993
816,2312820.7135363985
817,2322149.6655063992
818,2331511.983291399
819,2339080.1762913996
820,2309819.1415813984
821,2325058.185511399
822,2306507.797196399
823,2263241.2280763993
824,2288132.4914163984
825,2316310.399476399
826,2299711.3134713992
827,2303646.9733213987
828,2324385.712438899
829,2332186.2416288983
830,2290469.5762288994
831,2300948.462928899
832,2284829.917368899
833,2289515.719848899
834,2268890.9875788987
835,2286861.9376488985
836,2310695.5896838987
837,2299127.8418988986
838,2295301.501018899
839,2303142.729758899
840,2282116.278268899
841,2247277.4050688986
842,2233715.8979988988
843,2202274.8710138993
844,2175525.326191399
845,2170583.9665913987
846,2172457.0147813987
847,2139697.7047813986
848,2132270.915351399
849,2129203.569751399
850,2068254.817906399
851,2076367.8250663988
852,2123171.1047663987
853,2120618.699426399
854,2127521.2512463992
855,2122524.918346399
856,2103075.3600963987
857,2123278.493326399
858,2091014.556076399
859,2064559.1858663992
860,2004039.305276399
861,1983278.4966963988
862,1998368.0234163993
863,2047327.830856399
864,2046566.6910128277
865,2044844.4189442561
866,2008588.6917942567
867,2040700.158084256
868,2027261.767154256
869,2054172.0682142559
870,2077594.030984256
871,2070928.868944256
872,2083186.109794256
873,2060869.6735042562
874,2026442.2120542561
875,2037589.706269256
876,2015725.7029592565
877,2027490.6644942563
878,2017674.4434556847
879,2017642.2377371134
880,2046448.6107671133
881,2035059.2125021133
882,2063784.165412113
883,2074670.6285221132
884,2060399.7850721134
885,2050404.1134521135
886,2034699.1754396134
887,2020476.7574546135
888,2045476.4851646135
889,2072640.632214614
890,2060433.5271146132
891,2069763.1312846132
892,2077624.955424613
893,2077302.9731746134
894,2047761.4629812194
895,2017178.0381525825
896,2003811.0657218343
897,2013661.2333318347
898,2038559.2992318342
899,2065394.745896834
900,2062885.1841368342
901,2049182.0082168342
902,2035321.9062868343
903,2038878.3815468345
904,2057728.6334368344
905,2066293.5322343342
906,2066753.2657843344
907,2048975.8670943342
908,2046676.9714543347
909,2061805.7081843342
910,2056521.8042793344
911,2054019.9259368347
912,2050576.0406168345
913,2056164.2994168345
914,2065640.6033568347
915,2076902.6471368345
916,2079297.2308868344
917,2069355.006005931
918,2055744.1812177307
919,2067597.2086652215
920,2069677.6567699926
921,2060159.1309299918
922,2067093.1864499925
923,2041652.4096599922
924,2062368.4120399922
925,2038337.9922199922
926,2034221.398909992
927,2072041.9207699923
928,2101762.264529992
929,2097333.5406399923
930,2105541.197379992
931,2104207.565939992
932,2132326.9696899923
933,2152928.6447049915
934,2150037.677334992
935,2168921.719594992
936,2171590.4441049923
937,2164782.700202992
938,2165307.1396929924
939,2158527.0148929926
940,2117592.075472992
941,2118294.809612992
942,2120890.0985179925
943,2094287.6285979925
944,2096937.8949179924
945,2080797.0985979922
946,2072202.120477992
947,2089912.7698779916
948,2086065.0165529924
949,2094348.3767479921
950,2095025.413707992
951,2086382.5395779922
952,2085217.156327992
953,2085132.943247992
954,2098002.383757992
955,2124671.1267479924
956,2133060.706737992
957,2116585.5243879925
958,2036887.7041929923
959,2041716.6044803923
960,2019648.5255803925
961,2003489.3700303924
962,2010529.9287065924
963,2007830.604026592
964,2014000.1528790924
965,2037614.5104140923
966,2024062.427174092
967,2038521.9072790921
968,2057931.7710741921
969,2014702.6824791923
970,1980360.6762291922
971,1985138.720029192
972,1987836.1039991924
973,1968248.1195291923
974,1948661.6850091924
975,1942126.210249192
976,1949724.2065691922
977,1978015.6981315922
978,1986509.5181315923
979,1989553.7755383926
980,2013943.3660083918
981,2003951.9265808922
982,1991177.5463558922
983,2009318.0363883919
984,2019348.3884383922
985,2019939.2259883925
986,2014729.0702533922
987,2013556.417193392
988,2025479.6737383923
989,2039858.2325140538
990,2054448.8608483833
991,2069170.3767856557
992,2073729.116055656
993,2075486.593673156
994,2076210.734573456
995,2074061.2416434563
996,2095185.4616034562
997,2113250.492473456
998,2098906.912473456
999,2096051.848854656
1000,2086521.7510356563
1001,2070660.654720656
1002,2063069.072900656
1003,2061688.3429006562
1004,2038805.751200656
1005,2070319.813970656
1006,2129090.4709706563
1007,2142764.0522706565
1008,2136891.292850656
1009,2154253.1371706557
1010,2146703.2256406564
1011,2148476.473400656
1012,2163091.142200656
1013,2169480.091280656
1014,2162743.536396015
1015,2169007.4108675118
1016,2159362.9272375116
1017,2173475.773767512
1018,2192809.048637512
1019,2203466.895557511
1020,2204179.1808375116
1021,2200955.8354775114
1022,2200034.3542775116
1023,2221309.0778175117
1024,2238745.1103845118
1025,2235121.5949645117
1026,2240658.9204845116
1027,2260542.8361545117
1028,2231050.0658395113
1029,2240078.5725395116
1030,2237065.2792995116
1031,2222617.2305995123
1032,2230785.9642595123
1033,2233697.4991295114
1034,2237532.3974995115
1035,2215406.1580895116
1036,2207253.9357695114
1037,2207718.412409512
1038,2208002.712329512
1039,2190580.3181095114
1040,2180641.443579512
1041,2199074.256709512
1042,2193362.6632495117
1043,2200563.5928095113
1044,2211241.2610695115
1045,2213900.510589512
1046,2204098.2680795123
1047,2184652.417019511
1048,2200872.032769512
1049,2212477.3645795123
1050,2216642.167469512
1051,2247185.929869512
1052,2255928.099869512
1053,2243655.9581495114
1054,2249531.2751595112
1055,2244750.403024512
1056,2251856.460299512
1057,2238751.079564512
1058,2227668.519784512
1059,2224935.2825345118
1060,2219778.1525345114
1061,2236268.2575145112
1062,2214964.3838145114
1063,2223439.242194512
1064,2229170.447814512
1065,2242228.0970745115
1066,2224064.987804512
1067,2239123.892324512
1068,2216832.937669512
1069,2241891.0427095117
1070,2251730.5078495117
1071,2250250.663479511
1072,2255557.0520995115
1073,2267418.913152012
1074,2269712.059777012
1075,2288887.6739370115
1076,2244577.715437012
1077,2262606.2283970118
1078,2246120.973027012
1079,2228553.606397011
1080,2200859.0395070114
1081,2206978.051062012
1082,2223775.301062012
1083,2240623.8838620116
1084,2245467.8552820114
1085,2245687.385702012
1086,2266344.3578220117
1087,2265614.4456820115
1088,2242349.0309320115
1089,2261891.1427220115
1090,2294686.6610920117
1091,2286860.0940720118
1092,2306282.2012220123
1093,2291100.698542012
1094,2268829.737192012
1095,2267811.2900820114
1096,2266009.105082012
1097,2275887.758117012
1098,2284727.4323720117
1099,2270479.504972012
1100,2284340.3000820125
1101,2289289.7535620118
1102,2297786.6670320123
1103,2287766.7176170116
1104,2272015.873107012
1105,2255994.139257012
1106,2272380.3487470113
1107,2240219.326397011
1108,2210667.069197012
1109,2196347.328642012
1110,2220934.3668120117
1111,2224879.526382012
1112,2182944.7705320115
1113,2185634.416852012
1114,2216650.962292012
1115,2231362.884632012
1116,2208313.040342012
1117,2204741.8901420115
1118,2228532.8143220115
1119,2211409.2692120117
1120,2217657.2652695114
1121,2239251.154579512
1122,2221315.6163770123
1123,2180162.250237012
1124,2186783.4452470127
1125,2176170.6263020122
1126,2185836.2008620123
1127,2206216.9204770112
1128,2225678.217547011
1129,2211580.5440570125
1130,2226222.2479170114
1131,2225510.762139012
1132,2228251.3267790126
1133,2224288.3175850115
1134,2232441.4329450116
1135,2248605.701610012
1136,2245027.9901200123
1137,2270139.923440011
1138,2286387.680500012
1139,2274129.0577850123
1140,2280940.1655550115
1141,2258261.882635012
1142,2251859.753615012
1143,2253296.4110050118
1144,2213345.1903550117
1145,2196924.2626150115
1146,2182704.9038250116
1147,2187754.8598050117
1148,2195812.4764050115
1149,2199004.2553150123
1150,2208157.058705012
1151,2200928.2107150117
1152,2225822.795770012
1153,2228759.185310012
1154,2225643.957630012
1155,2209300.770260012
1156,2202136.1451800116
1157,2207502.857010012
1158,2203496.9638800113
1159,2205150.4679700118
1160,2197436.490240012
1161,2186776.334450012
1162,2174211.771140012
1163,2163868.9414200117
1164,2164816.8311250117
